# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 12 14:39:34 EST 2021 [seed=1636745955969]
state	joint	prior	likelihood	loc.clock.rate	loc.meanRate	loc.rates.CT.NY-NJ	loc.rates.CT.domestic	loc.rates.CT.international	loc.rates.NY-NJ.domestic	loc.rates.NY-NJ.international	loc.rates.domestic.international	loc.rates.NY-NJ.CT	loc.rates.domestic.CT	loc.rates.international.CT	loc.rates.domestic.NY-NJ	loc.rates.international.NY-NJ	loc.rates.international.domestic	loc.indicators.CT.NY-NJ	loc.indicators.CT.domestic	loc.indicators.CT.international	loc.indicators.NY-NJ.domestic	loc.indicators.NY-NJ.international	loc.indicators.domestic.international	loc.indicators.NY-NJ.CT	loc.indicators.domestic.CT	loc.indicators.international.CT	loc.indicators.domestic.NY-NJ	loc.indicators.international.NY-NJ	loc.indicators.international.domestic	loc.nonZeroRates	loc.branchRates	loc.treeLikelihood
0	-3013.3972184655217	-175.60088949459748	-2837.796328970924	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2837.796328970924
1000	-2786.6771434007233	-346.22260255096967	-2440.454540849754	2.1447697861139234	2.144769786113919	3.2498378617736696	0.4210472064065861	0.31526536188865506	1.3449350918730605	0.5100682089504035	0.5206004417466644	2.414028772157501	2.2363583265624505	0.6138635552582378	2.4985852426330197	0.9394174911951387	1.724848107537113	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2440.454540849754
2000	-2786.1264615928485	-367.82996232800764	-2418.296499264841	2.3251412324056453	2.3251412324056404	1.889835055524754	0.5993770345230113	0.09050036915064286	1.1177681155971786	0.5703159587554857	0.4338946171721093	2.0304187906988727	1.478695342796032	0.2538989349832555	1.9354262761085106	0.5848573078024532	1.3021205214047487	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2418.296499264841
3000	-2789.3176376456604	-347.73736174137434	-2441.5802759042863	2.1578383599229456	2.157838359922943	3.2781926961270074	0.7434833048490846	0.3910327483792177	1.0058636752345875	0.5958502953789022	0.3665123238084101	2.4279217172870515	1.827602469219814	0.4615452851473817	2.7030948548615394	1.1725227719252438	1.4381798982041178	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2441.5802759042863
4000	-2788.2838249505794	-368.4246727702081	-2419.8591521803714	2.3202401960197454	2.320240196019734	2.295586038132954	0.3190343521148825	0.17847759732919075	0.8489054729151132	0.8424594938790443	0.3909444593818836	2.3655332368610877	1.9636744286199213	0.38139300432387724	1.900870948879311	0.7605051780702959	1.3438268072109005	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2419.8591521803714
5000	-2781.7753020778755	-320.25725202712704	-2461.5180500507486	2.015650256993597	2.0156502569935886	1.6969207873753591	0.24794972624012498	0.13909709494683806	0.8325317592777344	0.3549631388147036	0.2682904435841872	1.28884079894848	1.1828617796722896	0.30229601949997603	1.6936225432947987	0.4691895837229388	1.0393800071323058	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2461.5180500507486
6000	-2784.4571371650622	-374.4967339700592	-2409.960403195003	2.3723420155064225	2.372342015506421	1.918279248050955	0.39301162803935363	0.09813003962202899	0.7558107459651856	0.5416001617250302	0.3013388953188878	2.0385865175441973	1.9187762124747476	0.34631867679249545	1.8953042371145619	0.6781219009835697	1.236716273127929	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2409.960403195003
7000	-2786.1533347283794	-386.6283797363917	-2399.5249549919877	2.436971403068131	2.436971403068128	2.757061377427268	0.5090825309352882	0.10021053245214567	1.066013575286209	0.5889704277153932	0.6499198082044714	2.2812463906291414	1.7878679546921663	0.3797227691439663	2.3888125122559547	1.0509587929307251	1.3395752877786697	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2399.5249549919877
8000	-2782.643253879927	-338.63076447575935	-2444.012489404168	2.1133824333872284	2.1133824333872218	2.694947955905451	0.3645620436241539	0.18293304613253158	1.1652893429092261	0.5020623276850031	0.21619526565793365	2.0956113609706075	1.5543907464359563	0.4041637028373273	2.4117399407589653	0.8451791477966316	1.3036667512982465	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2444.012489404168
9000	-2788.7718968145864	-365.44468649370117	-2423.327210320885	2.3043425423291337	2.3043425423291244	2.442498188906498	0.416907141107185	0.10845536284564714	1.1369952756911565	0.8200626858162511	0.30082848837962267	1.7578292216524547	1.478942689406925	0.4275139384285481	2.3621208889635743	0.7327483747321472	0.9274169768649904	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2423.327210320885
