tip_name	tip_dates
hCoV-19_Mayotte_IPP00938_2021	2021-01-13
hCoV-19_Senegal_NMBO_201663_2021	2021-01-04
hCoV-19_Rwanda_AV65997RD_2020	2020-12-28
hCoV-19_Morocco_FMP80_2021	2021-01-08
hCoV-19_Mauritius_N2021_2021	2021-01-10
hCoV-19_Tunisia_Q8734_2021	2021-02-20
hCoV-19_Senegal_SN-IR6-002302_2020	2020-12-30
hCoV-19_Senegal_SN_MBO_201677_2021	2021-01-02
hCoV-19_Martinique_HCL021028548501_2021	2021-02-02
hCoV-19_Martinique_HCL021028550901_2021	2021-01-26
hCoV-19_Rwanda_NRLNAT3055_2021	2021-01-11
hCoV-19_Rwanda_NRLNAT3056_2021	2021-01-24
hCoV-19_Angola_KRISP-K009682_2021	2021-01-15
hCoV-19_Angola_KRISP-K009683_2021	2021-01-15
hCoV-19_Angola_KRISP-K009730_2021	2021-01-27
hCoV-19_Angola_KRISP-K009742_2021	2021-01-29
hCoV-19_Angola_KRISP-K009743_2021	2021-01-29
hCoV-19_Angola_KRISP-K009753_2021	2021-02-08
hCoV-19_Martinique_HCL021023929701_2021	2021-01-27
hCoV-19_Martinique_HCL021023933801_2021	2021-01-29
hCoV-19_Martinique_HCL021023926801_2021	2021-02-01
hCoV-19_Martinique_HCL021023931301_2021	2021-01-26
hCoV-19_Malawi_KRISP-K010155_2021	2020-11-25
hCoV-19_Togo_C5780_2021	2021-01-22
hCoV-19_Togo_C6231_2021	2021-02-03
hCoV-19_Togo_C6388_2021	2021-02-04
hCoV-19_Togo_C6635_2021	2021-02-08
hCoV-19_Togo_C6647_2021	2021-02-08
hCoV-19_Togo_TGS9_2021	2021-02-05
hCoV-19_Togo_TGS10_2021	2021-02-05
hCoV-19_Togo_TGS18_2021	2021-02-12
hCoV-19_Togo_C6941_2021	2021-02-15
hCoV-19_Togo_C6945_2021	2021-02-15
hCoV-19_Togo_C6959_2021	2021-02-15
hCoV-19_Angola_KRISP-K010852_2021	2021-02-22
hCoV-19_Angola_KRISP-K010853_2021	2021-02-22
hCoV-19_Angola_KRISP-K010855_2021	2021-01-24
hCoV-19_Angola_KRISP-K011682_2021	2021-03-10
hCoV-19_Angola_KRISP-K011695_2021	2021-03-04
hCoV-19_Angola_KRISP-K011696_2021	2021-03-04
hCoV-19_Togo_C7024_2021	2021-02-05
hCoV-19_Togo_C6637_2021	2021-02-08
hCoV-19_Togo_C6648_2021	2021-02-08
hCoV-19_Gabon_CERMEL_2021	2021-04-06
hCoV-19_Senegal_SN-THI-20-2088_2020	2020-12-21
hCoV-19_Senegal_SN-THI-21-027_2021	2021-01-14
hCoV-19_Senegal_SN-TH-TIV-2174_2021	2021-01-15
hCoV-19_Senegal_SN-IR8-000056_2021	2021-01-16
hCoV-19_Senegal_SN-IR2-0010667_2021	2021-01-16
hCoV-19_Senegal_SN-IR1-0016423_2021	2021-01-03
hCoV-19_Brazil_SP-L94-CD2720_2021	2021-01-05
hCoV-19_Brazil_SP-L94-CD2721_2021	2021-01-06
hCoV-19_Brazil_SP-L94-CD2722_2021	2021-01-08
hCoV-19_Brazil_SP-1751_2021	2021-01-25
hCoV-19_Brazil_MG-LBI07_2021	2021-01-04
hCoV-19_Brazil_PR-LBI10_2021	2021-01-07
hCoV-19_Brazil_MG-LBI11_2021	2021-01-07
hCoV-19_Brazil_SP-LBI34_2021	2021-01-08
hCoV-19_Brazil_SP-LBI37_2021	2021-01-08
hCoV-19_Brazil_MG-LBI09_2021	2021-01-08
hCoV-19_Brazil_SE-LBI35_2021	2021-01-08
hCoV-19_Brazil_MG-LBI28_2021	2021-01-09
hCoV-19_Brazil_MG-LBI29_2021	2021-01-09
hCoV-19_Brazil_RJ-LBI33_2021	2021-01-11
hCoV-19_Brazil_MG-LBI30_2021	2021-01-11
hCoV-19_Brazil_RJ-LBI36_2021	2021-01-11
hCoV-19_Brazil_ES-LBI44_2021	2021-01-12
hCoV-19_Brazil_RJ-LBI45_2021	2021-01-12
hCoV-19_Brazil_MG-LBI31_2021	2021-01-12
hCoV-19_Brazil_SP-LBI04_2021	2021-01-12
hCoV-19_Brazil_MG-LBI1B_2021	2021-01-12
hCoV-19_Brazil_MG-LBI02_2021	2021-01-13
hCoV-19_Brazil_MG-LBI03_2021	2021-01-14
hCoV-19_Brazil_MT-LBI39_2021	2021-01-14
hCoV-19_Brazil_MG-LBI48_2021	2021-01-15
hCoV-19_Brazil_MG-LBI43_2021	2021-01-15
hCoV-19_Brazil_BA-LBI38_2021	2021-01-18
hCoV-19_Brazil_MG-LBI41_2021	2021-01-21
hCoV-19_Brazil_MT-LBI25_2021	2021-01-24
hCoV-19_Peru_LIM-INS-738_2021	2021-01-12
hCoV-19_Chile_RM-266418_2020	2020-12-30
hCoV-19_Chile_RM-3595_2021	2021-01-04
hCoV-19_Chile_LR-262486_2020	2020-12-22
hCoV-19_Chile_RM-267253_2020	2020-12-29
hCoV-19_Chile_RM-266423_2020	2020-12-30
hCoV-19_Chile_RM-1406_2021	2021-01-03
hCoV-19_Chile_ML-266537_2020	2020-12-27
hCoV-19_Chile_RM-3596_2021	2021-01-04
hCoV-19_Brazil_SP-1774_2021	2021-01-05
hCoV-19_Brazil_SP-1790_2021	2021-01-21
hCoV-19_Brazil_GO-1799_2021	2021-01-27
hCoV-19_Brazil_SP-1848_2021	2021-02-09
hCoV-19_Brazil_ES-FUNED-320316749_2021	2021-02-03
hCoV-19_Chile_RM-11_2020	2020-12-30
hCoV-19_Chile_NB-32569_2021	2021-02-10
hCoV-19_Chile_RM-43288_2021	2021-03-03
hCoV-19_Chile_RM-46301_2021	2021-03-08
hCoV-19_Chile_RM-50203_2021	2021-03-11
hCoV-19_Chile_RM-39996_2021	2021-02-25
hCoV-19_Chile_RM-38314_2021	2021-02-23
