# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Jun 01 13:37:59 EDT 2021 [seed=1622569071193]
state	joint	prior	likelihood	loc.clock.rate	loc.meanRate	loc.rates.CT.NY-NJ	loc.rates.CT.domestic	loc.rates.CT.international	loc.rates.NY-NJ.domestic	loc.rates.NY-NJ.international	loc.rates.domestic.international	loc.rates.NY-NJ.CT	loc.rates.domestic.CT	loc.rates.international.CT	loc.rates.domestic.NY-NJ	loc.rates.international.NY-NJ	loc.rates.international.domestic	loc.indicators.CT.NY-NJ	loc.indicators.CT.domestic	loc.indicators.CT.international	loc.indicators.NY-NJ.domestic	loc.indicators.NY-NJ.international	loc.indicators.domestic.international	loc.indicators.NY-NJ.CT	loc.indicators.domestic.CT	loc.indicators.international.CT	loc.indicators.domestic.NY-NJ	loc.indicators.international.NY-NJ	loc.indicators.international.domestic	loc.nonZeroRates	loc.branchRates	loc.treeLikelihood
0	-2965.2018784644333	-177.6239330557516	-2787.577945408682	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2787.577945408682
1000	-2753.8795920394946	-341.63250427382764	-2412.247087765667	2.105680879957477	2.1056808799574727	2.6929809410618435	0.629382305281838	1.44278982979279	1.0685018773547144	0.9610692180256162	0.3254527677659919	2.542406119324058	1.3860673483997523	0.6078444754098422	1.8838662908562769	0.7138700530392353	1.8204775230938226	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11.0	0.0	-2412.247087765667
2000	-2751.530330262174	-373.6250772680775	-2377.905252994097	2.3311845459448994	2.3311845459449105	2.1293551400055244	0.3198393557831032	0.08785347059123066	1.0676691049779174	0.18577338476199332	0.4501726706610719	2.026135441735244	1.6085073099038867	0.4428279296004152	2.0109532942005997	0.8273728302934299	1.3256655176334164	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2377.905252994097
3000	-2743.8858326756354	-365.0555739340058	-2378.8302587416297	2.2674199446372016	2.267419944637213	2.3450822206627078	0.3904405192119291	0.08432940380457712	1.2299268563405241	0.6824134876461574	0.39459655982674635	2.133752403002176	1.5062227742674412	0.5056036083243132	1.817812033538862	0.7294864569198106	1.45203930672354	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2378.8302587416297
4000	-2744.588832850138	-352.9672459183923	-2391.6215869317457	2.1909642715973034	2.190964271597308	2.3179743544311386	0.24230228338728857	0.1986306959140132	0.8066319720448081	0.5605085524298467	0.3365112707783312	2.0821916052214826	2.0299860985197338	0.45157455975579813	1.6283512775342135	0.6120837583112112	1.1389770659931808	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2391.6215869317457
5000	-2753.386508417418	-370.4261703640092	-2382.960338053409	2.2563718122225342	2.2563718122225414	3.7147307437923214	0.6769509393367752	0.3367800975807396	1.4724673343297947	0.5703561445067914	0.6363393423377661	3.2487207570794365	2.744907980064393	0.7894144516493332	3.159452296990874	1.2876417685919381	1.6261753398433043	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2382.960338053409
6000	-2753.3622355924113	-351.09755601478463	-2402.264679577627	2.1521344929197803	2.152134492919782	3.5415411366845326	0.6245799689014491	0.31574554141087	1.3425383741701737	0.49642767507498026	0.7033972011248791	2.454648222385082	1.8651503501362974	0.3006642434512902	2.1307508377287854	1.103215281902402	1.3571327725658489	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2402.264679577627
7000	-2748.066647558197	-338.6519579205625	-2409.4146896376346	2.110467793259979	2.110467793259983	2.0215535865217933	0.28109332373187507	0.19746164083941564	0.8679172195680341	0.26907558550066646	0.1795360076575407	1.2935745394957041	1.2107815843743142	0.2569864157428706	1.957971939079359	0.39406168895569643	0.9765460901932896	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2409.4146896376346
8000	-2748.6607668923702	-317.05488954823505	-2431.605877344135	1.9769039408913889	1.9769039408913869	1.5143672598460662	0.2831490732037976	0.07248973764398219	0.4656658719261909	0.6662798867431888	0.0922340489556113	1.3821475616125307	0.8518387623545438	0.32267533246100594	1.0418583327703863	0.4437039900152142	0.7806299129439234	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2431.605877344135
9000	-2743.63480411964	-339.64237642339856	-2403.9924276962415	2.115585075682489	2.1155850756824934	1.6868994196090206	0.2848790432627622	0.17864601086049417	0.8904618374529508	0.33586551510337664	0.3797365396346136	1.8205057374687499	1.2155135716796146	0.24225881751560568	1.2827407741910974	0.792791113058292	1.035489847555011	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2403.9924276962415
10000	-2749.3510617863026	-352.0520836478505	-2397.298978138452	2.201727086247026	2.201727086247021	2.125220800454907	0.27910932142010675	0.20980118271574028	0.6298038202084383	0.5750832272198634	0.2860040424801901	1.2399326619529478	0.8444299550970336	0.24202218417636295	1.766612865795676	0.5202569237958719	1.1924567862109015	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2397.298978138452
11000	-2752.085692913316	-363.55160426205987	-2388.5340886512563	2.209205100424897	2.2092051004249034	3.9621156085695866	0.5525878530944944	0.20128785546320568	1.155967720346903	0.7087254701367592	0.7124270261155847	3.606243960055775	2.8274346188291664	0.47905808267368744	2.8929321931712	1.5069372122763607	1.7068781629701142	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2388.5340886512563
12000	-2754.323150262869	-386.01661437751966	-2368.3065358853496	2.378526739109729	2.3785267391097413	3.4862297173851102	0.44515533202229807	0.3517408033153562	1.361014564808337	0.6501973848832246	0.3187728816055332	3.6326020037595335	2.4921075394472565	0.3701951543913568	2.0374122052660817	1.0821180579823246	1.6976843411759424	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2368.3065358853496
13000	-2747.0602341190047	-363.05042130652976	-2384.009812812475	2.256295963468786	2.2562959634688045	2.1312206026219545	0.43575304378342145	0.1581244653547277	1.0598354691714895	0.6564122822264132	0.506659062421143	1.8776755032629808	1.6482682514883966	0.32989837425579993	1.7814057765198161	0.9849578171326635	1.3291105448898013	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-2384.009812812475
