# BEAST v1.10.5 Prerelease #23570d1
# Generated Sat May 29 14:49:01 EDT 2021 [seed=1622314133195]
state	joint	prior	likelihood	loc.clock.rate	loc.meanRate	loc.rates.CT.NY-NJ	loc.rates.CT.domestic	loc.rates.CT.international	loc.rates.NY-NJ.domestic	loc.rates.NY-NJ.international	loc.rates.domestic.international	loc.rates.NY-NJ.CT	loc.rates.domestic.CT	loc.rates.international.CT	loc.rates.domestic.NY-NJ	loc.rates.international.NY-NJ	loc.rates.international.domestic	loc.indicators.CT.NY-NJ	loc.indicators.CT.domestic	loc.indicators.CT.international	loc.indicators.NY-NJ.domestic	loc.indicators.NY-NJ.international	loc.indicators.domestic.international	loc.indicators.NY-NJ.CT	loc.indicators.domestic.CT	loc.indicators.international.CT	loc.indicators.domestic.NY-NJ	loc.indicators.international.NY-NJ	loc.indicators.international.domestic	loc.nonZeroRates	loc.branchRates	loc.treeLikelihood
0	-1942.5069414851657	-107.36521762324392	-1835.1417238619217	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-1835.1417238619217
1000	-1711.916830054981	-177.44128742825058	-1534.4755426267302	1.9843893162264061	1.9843893162264081	2.0491784224178207	0.7157635935324036	0.27254571464155664	1.520917811946499	0.6510448187208215	0.2781900742630754	3.115872790645503	0.2923770740706825	0.5323249120030337	0.747528817529889	1.2059811563689056	0.4496344704164451	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1534.4755426267302
2000	-1719.452916519297	-205.1550423103307	-1514.2978742089665	2.2282117098604206	2.228211709860425	3.6386519684647696	0.9386253005091602	0.13085685053439935	2.1574891379159005	0.9830633979004406	0.19977017280789836	4.8382094042255455	0.8946171760467261	0.7149428152467878	2.0520663425256003	1.7458414318466962	0.2717557841730806	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-1514.2978742089665
3000	-1711.5421726544203	-181.24572568200387	-1530.2964469724163	2.012477372786361	2.012477372786365	2.7908956596069334	0.6936212580471761	0.15171641102108827	1.969377594315833	0.5525949605230069	0.17319206433609668	3.9929053751522137	0.45874945048865834	0.3268171710299746	1.474189688071135	0.7534254289701273	0.1574127273227261	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1530.2964469724163
4000	-1711.2990570287154	-183.75031887897688	-1527.5487381497385	2.1428918852847896	2.142891885284798	1.8677929770369264	0.29634276795671965	0.1325317281383735	1.084750950342574	0.5034014209399924	0.7089537220599886	1.724478386026037	0.3973389602424757	0.23617627633389268	0.9121660308681285	0.38969329306352135	0.1093581617634947	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0	0.0	-1527.5487381497385
5000	-1712.1773413707679	-190.8840117274197	-1521.2933296433482	2.1359573615145617	2.135957361514558	2.132879575204896	0.5225686386533708	0.061708797985779704	1.213716769961889	0.41323958770699476	0.2603075091883303	2.548485543882647	0.4151700742797234	1.2417003966238431	1.4789233398859682	0.8952184726602783	0.14072051156585566	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-1521.2933296433482
6000	-1708.7467310805018	-182.73477636763175	-1526.0119547128702	2.066199119877762	2.0661991198777687	1.9436143883366706	0.4833172761368883	0.25218216612335237	1.2304574416357243	0.3586245682742273	0.19849927755990698	2.0496162169877397	0.29705650033333547	0.39373690456683547	0.8576814241820644	0.7042634993684721	2.1204418903267714	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1526.0119547128702
7000	-1710.5894410672138	-184.59397739145567	-1525.9954636757582	2.0778948955817667	2.0778948955817653	1.5006404423511428	0.3086138776787232	0.13136401003083645	1.060185629864444	0.467913514159683	0.2147990747494449	1.8689883840219854	0.28628915712066644	3.1020259893461675	1.0845950010130547	0.6535750028596332	1.1783426247761817	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1525.9954636757582
8000	-1717.0995105763789	-174.27428357842604	-1542.8252269979528	1.8772721553205856	1.8772721553205862	1.9939133613962126	0.28010854992910056	0.16348534242999094	1.4023498871698192	0.54228717639537	0.12711154619431508	2.2351710793827224	0.2633654154273658	5.644683352991726	1.0156952863598867	0.6573263689097908	0.1064866836604775	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-1542.8252269979528
9000	-1716.9939798792311	-204.29645982058494	-1512.6975200586462	2.3681908795099402	2.3681908795099367	1.4627903712269459	0.5617002611994057	0.4747419231057706	1.1337238262775557	0.34982014419750146	0.18777563449556842	2.220306580992336	0.5583405135018062	0.25231675275430326	1.0027597835067783	1.2231921467353408	0.01293984348091349	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1512.6975200586462
