tip_names	date
hCoV-19_Brazil_AM-FIOCRUZ-20842882CA_EPI_ISL_833137-12-04	2020-12-04
hCoV-19_USA_NY-PRL-2021_02_17_00M08	2021-02-14
hCoV-19_USA_NY-PRL-2021_0412_00D24	2021-04-08
hCoV-19_USA_NY-PRL-2021_03_29_00P01	2021-03-25
hCoV-19_USA_NY-PRL-2021_03_25_00N07	2021-03-24
hCoV-19_USA_NJ-PHEL-21-9376	2021-04-03
hCoV-19_USA_NJ-CDC-LC0033214	2021-03-19
hCoV-19_USA_NJ-CDC-ASC210018844	2021-03-25
hCoV-19_USA_GA-CDC-STM-000043393	2021-03-25
hCoV-19_USA_ND-NDDH-0576	2021-03-24
hCoV-19_USA_VT-CDC-ASC210023806	2021-03-26
hCoV-19_USA_NY-Wadsworth-21042739-01	2021-04-07
hCoV-19_USA_NJ-PHEL-21-5873	2021-02-25
hCoV-19_USA_CA-CDC-ASC210040867	2021-04-01
hCoV-19_USA_CT-Yale-3537	2021-04-06
hCoV-19_USA_NY-CDC-ASC210024503	2021-03-27
hCoV-19_USA_MS-CDC-STM-000039992	2021-03-19
hCoV-19_Switzerland_VD-ETHZ-570909	2021-04-06
hCoV-19_USA_NJ-CDC-ASC210006727	2021-03-12
hCoV-19_USA_NJ-CDC-LC0038604	2021-03-31
hCoV-19_USA_IN-CDC-STM-000048140	2021-04-01
hCoV-19_USA_MI-CDC-STM-000043386	2021-03-25
hCoV-19_USA_IA-CDC-ASC210044789	2021-04-03
hCoV-19_USA_CA-CDC-FG-019425	2021-04-02
hCoV-19_USA_CA-CDC-FG-017908	2021-04-03
hCoV-19_USA_CA-CDC-FG-018956	2021-03-30
hCoV-19_USA_NE-CDC-ASC210039020	2021-03-31
hCoV-19_USA_MI-MDHHS-SC24035	2021-02-12
hCoV-19_USA_MI-MDHHS-SC25299	2021-03-11
hCoV-19_Turkey_HSGM-919	2021-03-29
hCoV-19_USA_NY-CDC-IBX275302976929	2021-03-22
hCoV-19_USA_OH-CDC-STM-000048613	2021-03-31
hCoV-19_USA_OH-CDC-QDX23319108	2021-03-23
hCoV-19_USA_NJ-CDC-IBX808944641325	2021-03-18
hCoV-19_USA_NJ-CDC-LC0038545	2021-03-29
hCoV-19_USA_NJ-CDC-ASC210007439	2021-03-15
hCoV-19_USA_NJ-CDC-ASC210023773	2021-03-27
hCoV-19_USA_NY-PRL-2021_03_25_00N01	2021-03-24
hCoV-19_USA_NY-Wadsworth-21035984-01	2021-03-19
hCoV-19_USA_NY-Wadsworth-21034165-01	2021-03-15
hCoV-19_USA_NY-PRL-2021_0405_02E06	2021-04-04
hCoV-19_USA_NY-NYCPHL-003985	2021-03-19
hCoV-19_USA_NY-PRL-2021_03_01_01A19	2021-02-26
hCoV-19_USA_NJ-CDC-ASC210045997	2021-04-05
hCoV-19_USA_CA-CDC-FG-021157	2021-04-09
hCoV-19_USA_NJ-CDC-IBX807940755547	2021-03-16
hCoV-19_USA_PA-CDC-STM-000047067	2021-03-30
hCoV-19_USA_NJ-CDC-LC0036604	2021-03-23
hCoV-19_USA_CA-CDC-QDX23356620	2021-03-25
hCoV-19_USA_CA-CDC-ASC210039232	2021-03-31
hCoV-19_USA_CA-CDC-LC0033996	2021-03-19
hCoV-19_USA_CA-CDC-QDX23613596	2021-03-29
hCoV-19_USA_CA-CDC-LC0034621	2021-03-21
hCoV-19_USA_NJ-CDC-QDX23236256	2021-03-21
hCoV-19_USA_NY-NYCPHL-003746	2021-03-02
hCoV-19_USA_NY-PRL-2021_0406_00F11	2021-04-04
hCoV-19_USA_NY-PRL-2021_03_29_03C08	2021-03-26
hCoV-19_USA_NY-CDC-QDX23396212	2021-03-28
hCoV-19_USA_NJ-CDC-ASC210011330	2021-03-17
hCoV-19_USA_NJ-CDC-ASC210018352	2021-03-24
hCoV-19_USA_NY-PRL-2021_0210_06D04	2021-02-08
hCoV-19_USA_NY-PRL-2021_0405_01C03	2021-04-02
hCoV-19_USA_NY-PRL-2021_0412_00M07	2021-04-08
hCoV-19_USA_NY-NYULH589	2021-02-28
hCoV-19_USA_NY-NYCPHL-003408	2021-02-16
hCoV-19_USA_NMDOH-2021073423	2021-03-04
hCoV-19_USA_NY-PRL-2021_0414_00A02	2021-04-10
hCoV-19_USA_NY-PRL-2021_03_19_00F22	2021-03-17
hCoV-19_USA_NY-PRL-2021_03_11_00C21	2021-03-09
hCoV-19_USA_NY-PRL-2021_03_01_01D13	2021-02-27
hCoV-19_USA_NJ-CDC-LC0013450	2021-02-02
hCoV-19_USA_NY-Wadsworth-21042119-01	2021-04-01
hCoV-19_USA_NY-PRL-2021_03_22_00I01	2021-03-19
hCoV-19_USA_NY-PRL-2021_02_26_01E12	2021-02-24
hCoV-19_USA_NY-Wadsworth-21028788-01	2021-01-28
hCoV-19_USA_NY-PRL-2021_03_22_01A24	2021-03-20
hCoV-19_Switzerland_GE-33620245	2021-03-21
hCoV-19_Switzerland_GE-33551741	2021-03-14
hCoV-19_USA_OH-PLMI-HNWWM-F6411773	2021-03-15
hCoV-19_Netherlands_GE-RIVM-25177	2021-04-01
hCoV-19_Netherlands_GE-RIVM-22056	2021-03-22
hCoV-19_Netherlands_ZH-RIVM-22151	2021-03-22
hCoV-19_Turkey_HSGM-9136	2021-03-08
hCoV-19_USA_NY-CDC-LC0014063	2021-02-09
hCoV-19_USA_TX-CDC-LC0043933	2021-04-09
hCoV-19_USA_NY-Wadsworth-21035557-01	2021-03-21
hCoV-19_USA_VA-DCLS-4383	2021-04-01
hCoV-19_Lithuania_S21C675	2021-03-03
hCoV-19_USA_NY-Wadsworth-21031428-01	2021-03-05
hCoV-19_USA_NY-PRL-03_05_01P04	2021-03-04
hCoV-19_USA_WV-CDC-ASC210013675	2021-03-21
hCoV-19_USA_NJ-CDC-ASC210042863	2021-04-02
hCoV-19_USA_WV-CDC-ASC210005731	2021-03-13
hCoV-19_USA_NJ-CDC-ASC210018900	2021-03-24
hCoV-19_USA_NY-PRL-2021_03_29_01P15	2021-03-27
hCoV-19_USA_CT-CDC-QDX23678341	2021-04-05
hCoV-19_USA_NJ-CDC-QDX23235263	2021-03-22
hCoV-19_USA_NY-PRL-2021_03_16_00F09	2021-03-13
hCoV-19_USA_NJ-PHEL-P21-9037	2021-02-25
hCoV-19_USA_NY-Wadsworth-21032708-01	2021-02-26
hCoV-19_USA_NY-NYULH611	2021-02-25
hCoV-19_USA_NY-CDC-LC0042433	2021-04-03
hCoV-19_USA_NY-PRL-03_08_00H11	2021-03-07
hCoV-19_USA_VA-CDC-LC0041621	2021-04-01
hCoV-19_USA_CT-Yale-3054	2021-03-24
hCoV-19_USA_CT-JAX-JAX000742	2021-03-29
hCoV-19_USA_CT-JAX-JAX000505	2021-03-27
hCoV-19_USA_NY-PRL-03_08_00B10	2021-03-06
hCoV-19_USA_NY-PRL-2021_0412_02L12	2021-04-10
hCoV-19_USA_NY-PRL-2021_02_22_00A05	2021-02-18
hCoV-19_USA_NY-CDC-ASC210028290	2021-03-30
hCoV-19_USA_NJ-CDC-ASC210045313	2021-04-04
hCoV-19_USA_NJ-CDC-ASC210045315	2021-04-04
hCoV-19_USA_NY-NYULH517	2021-02-23
hCoV-19_USA_NY-CDC-LC0034281	2021-03-17
hCoV-19_USA_NY-Wadsworth-21021185-01	2021-02-04
hCoV-19_USA_NY-PRL-2021_03_29_01M13	2021-03-24
hCoV-19_USA_CT-JAX-JAX000788	2021-04-02
hCoV-19_USA_CT-JAX-JAX000824	2021-04-06
hCoV-19_USA_CT-JAX-JAX000789	2021-04-02
hCoV-19_USA_CT-JAX-JAX000892	2021-04-05
hCoV-19_USA_CT-JAX-JAX000868	2021-04-06
hCoV-19_USA_CT-JAX-JAX000405	2021-03-18
hCoV-19_USA_CT-JAX-JAX000701	2021-03-30
hCoV-19_USA_CT-Yale-3534	2021-04-06
hCoV-19_USA_CT-JAX-JAX000893	2021-04-05
hCoV-19_USA_CT-JAX-JAX000925	2021-04-10
hCoV-19_USA_CT-CDC-ASC210045720	2021-04-04
hCoV-19_USA_NY-Wadsworth-21018097-01	2021-01-30
hCoV-19_Belgium_rega-3882	2021-02-24
hCoV-19_USA_NY-Wadsworth-21020533-01	2021-02-03
hCoV-19_Guadeloupe_IPP06225	2021-03-09
hCoV-19_USA_NY-PRL-2021_0406_00H21	2021-04-04
hCoV-19_USA_NY-PRL-2021_0406_00H19	2021-04-04
