# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 05 10:18:19 EDT 2021 [seed=1636121890340]
state	joint	prior	likelihood	loc.clock.rate	loc.meanRate	loc.rates.CT.NY-NJ	loc.rates.CT.domestic	loc.rates.CT.international	loc.rates.NY-NJ.domestic	loc.rates.NY-NJ.international	loc.rates.domestic.international	loc.rates.NY-NJ.CT	loc.rates.domestic.CT	loc.rates.international.CT	loc.rates.domestic.NY-NJ	loc.rates.international.NY-NJ	loc.rates.international.domestic	loc.indicators.CT.NY-NJ	loc.indicators.CT.domestic	loc.indicators.CT.international	loc.indicators.NY-NJ.domestic	loc.indicators.NY-NJ.international	loc.indicators.domestic.international	loc.indicators.NY-NJ.CT	loc.indicators.domestic.CT	loc.indicators.international.CT	loc.indicators.domestic.NY-NJ	loc.indicators.international.NY-NJ	loc.indicators.international.domestic	loc.nonZeroRates	loc.branchRates	loc.treeLikelihood
0	-1900.7669389689158	-108.14889563922628	-1792.6180433296895	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	12.0	0.0	-1792.6180433296895
1000	-1677.2833342882109	-161.8222268909721	-1515.4611073972387	1.7740258108037925	1.7740258108037952	1.9324356141418935	1.0472018700266892	2.0318670159844316	2.0621475363275668	0.713577644476852	0.5714193821164287	3.1237851235059844	0.3786537560237163	1.592287198949007	0.6864676160844414	0.803996616577881	0.4115229407427156	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	8.0	0.0	-1515.4611073972387
2000	-1677.5136086104635	-167.38287549585272	-1510.1307331146108	1.8722462030349578	1.872246203034956	1.184148475434232	0.36272531628298793	2.1181962109725836	1.5144726331944427	0.34514518600931854	0.4171468172655973	2.905136594280166	0.6455279867704339	2.3099080060171335	0.8897700568188917	0.5211459477178537	0.1363804620232452	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	8.0	0.0	-1510.1307331146108
3000	-1663.65162485252	-159.33886721366164	-1504.3127576388583	1.7976340549274974	1.7976340549274927	0.9074722076029611	0.1528974080866548	0.07251134520059677	1.0859631710622757	0.3527559272413032	0.2596220172514807	1.6069948667343716	0.3055210923302693	0.6701738251974411	0.5839407741619688	0.5481537719778432	0.007415891082041932	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1504.3127576388583
4000	-1664.226986742469	-176.59947088412437	-1487.6275158583446	2.028728916874301	2.0287289168743086	1.4390186420403086	0.12311800304396585	0.09325975400307746	1.143246160135183	0.3264125068822304	0.40661648285573265	2.0875732062424968	0.4192488312937121	0.9313254422029277	0.9102545182991504	0.43223063065912665	0.005075794278827349	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0	0.0	-1487.6275158583446
5000	-1665.5366899383985	-169.18082720507522	-1496.3558627333232	1.909069614706627	1.9090696147066246	1.5503508473469905	0.13923029159429287	0.05856671598180426	1.5075651731558026	0.411771517765897	0.46507329908117984	1.9984267702517853	0.4145510186389393	0.291109515712128	0.5296570769565515	0.4285690489343613	0.016683489907383574	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1496.3558627333232
6000	-1667.894842115618	-179.1651732418734	-1488.7296688737447	2.046039251796512	2.046039251796511	1.412445440313977	0.09227727563851636	0.18452809708912088	1.0321974622506938	0.4056221992177749	0.41934661573380655	1.9793211502573793	0.16083596688554916	0.13693452057599972	0.6845934003821172	0.37020880114061927	0.3692027547065637	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1488.7296688737447
7000	-1673.4685845719696	-170.49065633798358	-1502.977928233986	1.845265201601272	1.8452652016012698	2.0842409254743366	0.2620308163518436	0.12122133744160592	1.9927078410467762	0.6238313879807034	0.7013599183919274	3.205888874878057	0.5737387606240394	1.8235032317834692	0.7351383081626274	0.25088803054267517	1.6614357550672956	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1502.977928233986
8000	-1666.3289245559056	-177.81517301542186	-1488.5137515404838	2.0567039552304034	2.056703955230394	1.0726017751487056	0.3848873108320625	0.03444860952947742	0.7613724968453202	0.3073475551364756	0.3365830489179001	1.4946552778313502	0.5025630031780899	1.3074051370212176	0.4720740739174275	0.23304164098713898	0.47190024282243187	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0	0.0	-1488.5137515404838
9000	-1665.299696777094	-165.43163895157244	-1499.8680578255214	1.895495963541342	1.8954959635413429	0.9846784348413572	0.10480732294483948	0.0668359950339047	0.6164910500902802	0.20067387362319491	0.24578032293434846	1.409733627806356	0.0813689551432678	0.5730370980644546	0.3278725737307746	0.3112501144022194	0.18531367661864032	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	10.0	0.0	-1499.8680578255214
