tip_name	collection_date
hCoV-19_USA_NY-PRL-2021_0413_00B01_2021	2021-04-08
hCoV-19_USA_NY-PRL-2021_0412_00E09_2021	2021-04-08
hCoV-19_USA_NY-PRL-2021_03_29_00P01_2021	2021-03-25
hCoV-19_USA_NY-PRL-2021_03_17_00I11_2021	2021-03-15
hCoV-19_USA_NY-NYULH924_2021	2021-03-16
hCoV-19_USA_NY-Wadsworth-21035099-01_2021	2021-03-22
hCoV-19_USA_NJ-PHEL-21-9376_2021	2021-04-03
hCoV-19_USA_NJ-CDC-ASC210014064_2021	2021-03-21
hCoV-19_USA_NY-CDC-N80V-9857_2021	2021-03-11
hCoV-19_USA_NY-PRL-03_10_00K17_2021	2021-03-08
hCoV-19_USA_NY-PRL-2021_0409_00E24_2021	2021-04-08
hCoV-19_USA_NY-PRL-2021_0406_00K12_2021	2021-04-04
hCoV-19_USA_VT-CDC-ASC210023806_2021	2021-03-26
hCoV-19_USA_CT-Yale-3537_2021	2021-04-06
hCoV-19_USA_NY-PRL-2021_0405_02F03_2021	2021-04-01
hCoV-19_USA_NY-CDC-ASC210046084_2021	2021-04-05
hCoV-19_USA_MS-CDC-STM-000039992_2021	2021-03-19
hCoV-19_USA_VA-CDC-LC0036935_2021	2021-03-28
hCoV-19_Switzerland_VD-ETHZ-570909_2021	2021-04-06
hCoV-19_USA_VA-CDC-LC0034699_2021	2021-03-18
hCoV-19_USA_AL-CDC-ASC210018758_2021	2021-03-24
hCoV-19_USA_DC-CDC-LC0038510_2021	2021-03-30
hCoV-19_USA_VA-CDC-STM-000048178_2021	2021-03-31
hCoV-19_USA_NJ-CDC-ASC210006727_2021	2021-03-12
hCoV-19_USA_CA-CDC-FG-020242_2021	2021-04-08
hCoV-19_USA_NJ-CDC-LC0036787_2021	2021-03-23
hCoV-19_USA_KY-CDC-LC0042783_2021	2021-04-05
hCoV-19_USA_CA-CDC-STM-000046331_2021	2021-03-29
hCoV-19_USA_MI-CDC-QDX23614206_2021	2021-04-04
hCoV-19_USA_IA-CDC-ASC210044789_2021	2021-04-03
hCoV-19_USA_NE-CDC-ASC210039020_2021	2021-03-31
hCoV-19_USA_MI-MDHHS-SC25812_2021	2021-03-20
hCoV-19_USA_OH-PLMI-HNY75-00687_2021	2021-03-15
hCoV-19_USA_OH-PLMI-HNWWM-H7177780_2021	2021-03-15
hCoV-19_USA_NJ-CDC-ASC210011748_2021	2021-03-16
hCoV-19_USA_NY-Wadsworth-21034165-01_2021	2021-03-15
hCoV-19_USA_NY-PRL-2021_0406_00B03_2021	2021-04-04
