strain	loc
hCoV-19_USA_AK-PHL7941|2021-04-05	domestic
hCoV-19_USA_AK-PHL7936|2021-04-05	domestic
hCoV-19_USA_AK-PHL8059|2021-04-12	domestic
hCoV-19_USA_AL-CDC-LC0030311|2021-03-15	domestic
hCoV-19_USA_AL-CDC-ASC210015988|2021-03-23	domestic
hCoV-19_USA_AL-CDC-ASC210016908|2021-03-23	domestic
hCoV-19_USA_AL-CDC-LC0040685|2021-04-06	domestic
hCoV-19_USA_AL-CDC-LC0030443|2021-03-18	domestic
hCoV-19_USA_AL-HGSC-JJGA|2021-03-04	domestic
hCoV-19_USA_AL-HGSC-JJFW|2021-03-04	domestic
hCoV-19_USA_AL-CDC-LC0040646|2021-04-05	domestic
hCoV-19_USA_AL-CDC-LC0020891|2021-02-25	domestic
hCoV-19_USA_AZ-CDC-STM-000045312|2021-03-29	domestic
hCoV-19_USA_AZ-TG808824|2021-03-25	domestic
hCoV-19_USA_AZ-TG772666|2021-03-05	domestic
hCoV-19_USA_AZ-CDC-STM-000007238|2021-01-29	domestic
hCoV-19_USA_AZ-CDC-LC0024304|2021-03-04	domestic
hCoV-19_USA_AZ-CDC-LC0043896|2021-04-09	domestic
hCoV-19_USA_AZ-ASU3823|2021-02-02	domestic
hCoV-19_USA_AZ-ASU3831|2021-02-13	domestic
hCoV-19_USA_AZ-CDC-LC0034109|2021-03-17	domestic
hCoV-19_USA_AZ-CDC-22318506|2021-02-20	domestic
hCoV-19_USA_AZ-TG745424|2021-02-22	domestic
hCoV-19_Aruba_AW-RIVM-18327|2021-03-10	international
hCoV-19_Australia_QLD1747|2021-03-21	international
hCoV-19_Australia_WA582|2021-01-04	international
hCoV-19_Australia_VIC18197|2021-01-27	international
hCoV-19_England_NORW-22D1CC|2021-02-13	international
hCoV-19_England_QEUH-1362AAE|2021-02-27	international
hCoV-19_England_ALDP-1339026|2021-02-24	international
hCoV-19_England_ALDP-1363050|2021-02-26	international
hCoV-19_England_ALDP-133D9CD|2021-02-26	international
hCoV-19_England_ALDP-135823A|2021-02-25	international
hCoV-19_England_ALDP-1352F75|2021-02-23	international
hCoV-19_England_QEUH-139144E|2021-03-05	international
hCoV-19_England_NORT-1B8A668|2021-02-10	international
hCoV-19_England_MILK-13A192E|2021-03-05	international
hCoV-19_England_ALDP-13C70F0|2021-03-10	international
hCoV-19_England_CAMC-13CBF0E|2021-03-11	international
hCoV-19_England_RAND-13DDD4B|2021-03-11	international
hCoV-19_England_ALDP-131A850|2021-02-21	international
hCoV-19_England_ALDP-13C8A2E|2021-03-09	international
hCoV-19_England_QEUH-13E0817|2021-03-13	international
hCoV-19_England_CAMC-13AF6B0|2021-03-05	international
hCoV-19_England_QEUH-13D504A|2021-03-12	international
hCoV-19_England_MILK-13E3322|2021-03-06	international
hCoV-19_England_QEUH-1412417|2021-03-17	international
hCoV-19_England_QEUH-13F8BD7|2021-03-16	international
hCoV-19_England_QEUH-13DFA42|2021-03-13	international
hCoV-19_England_ALDP-14008C5|2021-03-16	international
hCoV-19_England_MILK-13F532D|2021-03-15	international
hCoV-19_England_QEUH-140673B|2021-03-17	international
hCoV-19_England_MILK-1473283|2021-03-24	international
hCoV-19_England_ALDP-145859A|2021-03-22	international
hCoV-19_England_CAMC-147B27C|2021-03-26	international
hCoV-19_England_ALDP-1449C1F|2021-03-21	international
hCoV-19_England_QEUH-145A96F|2021-03-23	international
hCoV-19_England_ALDP-14675E3|2021-03-21	international
hCoV-19_England_RAND-1471CE1|2021-03-23	international
hCoV-19_England_ALDP-1477CEB|2021-03-25	international
hCoV-19_England_QEUH-14B22E2|2021-03-31	international
hCoV-19_England_ALDP-12BB245|2021-02-14	international
hCoV-19_England_NOTT-2530B1|2021-03-16	international
hCoV-19_England_QEUH-14873B6|2021-03-28	international
hCoV-19_England_ALDP-1499E29|2021-03-27	international
hCoV-19_England_ALDP-14CBFEF|2021-04-03	international
hCoV-19_England_QEUH-14B49CD|2021-03-31	international
hCoV-19_England_QEUH-14D6B1A|2021-04-06	international
